City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,hamilton,39.1834,-84.5333,286.91,80,0,2.57,US,1697682482
205,altania,-23.8744,-53.9017,295.14,84,67,2.28,BR,1697682939
206,altai,46.3722,96.2583,276.67,47,0,0.33,MN,1697682939
207,broshniv-osada,48.9962,24.1975,275.59,63,94,1.71,UA,1697682939
208,puerto baquerizo moreno,-0.9,-89.6,296.84,87,100,4.29,EC,1697682745
209,jincheng,35.5022,112.8328,288.78,49,100,4.25,CN,1697682939
210,neelankarai,12.9455,80.2575,301.5,89,40,1.54,IN,1697682939
211,wuwei,37.9281,102.6414,283.1,31,2,1.37,CN,1697682939
212,klyuchi,52.2667,79.1667,282.76,42,21,3.38,RU,1697682693
213,beidao,34.5686,105.8933,286.39,54,37,3.33,CN,1697682940
214,cozumel,20.5083,-86.9458,298.19,73,40,2.06,MX,1697682940
215,aasiaat,68.7098,-52.8699,259.78,84,93,2.19,GL,1697682640
216,swakopmund,-22.6833,14.5333,288.7,84,1,1.34,NA,1697682867
217,lorengau,-2.0226,147.2712,301.87,74,12,0.32,PG,1697682663
218,bac lieu,9.285,105.7244,302.97,71,36,3.43,VN,1697682941
219,badger,64.8,-147.5333,271.08,77,100,2.57,US,1697682662
220,tete,-16.1564,33.5867,296.14,85,36,2.99,MZ,1697682941
221,peterhead,57.5058,-1.7981,284.37,76,94,16.38,GB,1697682941
222,raton,36.9034,-104.4391,285.49,44,0,3.6,US,1697682941
223,sungai raya,0.7,108.9,300.74,76,99,2.21,ID,1697682941
224,margate,51.3813,1.3862,288.88,92,69,2.68,GB,1697682642
225,sorong,-0.8833,131.25,300.63,79,2,3.36,ID,1697682685
226,anadyr,64.75,177.4833,267.43,67,0,6.71,RU,1697682632
227,basoda,23.85,77.9333,298.54,57,0,2.44,IN,1697682942
228,vilyuchinsk,52.9306,158.4028,287.3,63,22,5.7,RU,1697682652
229,fortuna,40.5982,-124.1573,287.55,96,100,0.0,US,1697682571
230,mehekar,20.15,76.5667,299.07,53,9,2.67,IN,1697682942
231,saint-pierre,-21.3393,55.4781,297.97,73,100,0.0,RE,1697682664
232,nagqu,31.5,92.0,269.61,83,100,1.31,CN,1697682942
233,lensk,60.7253,114.9278,271.88,80,100,3.58,RU,1697682942
234,yardimli,38.9206,48.2372,282.89,85,20,1.33,AZ,1697682943
235,araguaina,-7.1911,-48.2072,297.64,28,29,1.05,BR,1697682943
236,sangkhla buri,15.1555,98.4536,302.8,66,92,0.69,TH,1697682943
237,porto novo,6.4965,2.6036,298.73,85,95,2.53,BJ,1697682680
238,ancud,-41.8697,-73.8203,282.96,86,100,3.15,CL,1697682622
239,waingapu,-9.6567,120.2641,304.47,50,8,5.47,ID,1697682596
240,bousso,10.4795,16.7117,298.66,48,99,1.28,TD,1697682943
241,blackfoot,43.1905,-112.345,288.6,53,2,1.9,US,1697682943
242,pingshan,22.9938,114.7131,297.93,86,100,0.79,CN,1697682944
243,rovaniemi,66.5,25.7167,268.82,93,0,4.63,FI,1697682717
244,tofol,5.3248,163.0078,301.47,75,100,5.42,FM,1697682655
245,bumba,2.1833,22.4667,294.39,97,100,0.76,CD,1697682944
246,rio grande,-32.035,-52.0986,288.12,72,5,6.51,BR,1697682653
247,tambura,5.6,27.4667,294.26,90,79,0.88,SS,1697682944
